"","Koder_samlet","SKS1","SKS1_til","SKS10","SKS10_til","SKS11","SKS11_til","SKS12","SKS12_til","SKS13","SKS13_til","SKS2","SKS2_til","SKS3","SKS3_til","SKS4","SKS4_til","SKS5","SKS5_til","SKS6","SKS6_til","SKS7","SKS7_til","SKS8","SKS8_til","SKS9","SKS9_til","Tid_i_min"
"92","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG25_TUL1/UXRG25_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","højresidig","Røntgenundersøgelse af knæ","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"287","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG60_TUL1/UXRG60_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse på lang film af underekstremiteten","højresidig","Røntgenundersøgelse på lang film af underekstremiteten","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"347","UXRC00_NA/UXRF12_TUL2/UXRF25_TUL2/UXRF40_TUL2/UXRF45_TUL2","Røntgenundersøgelse af thorax",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af akromioclavicularled","venstresidig","Røntgenundersøgelse af albue","venstresidig","Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af os scaphoideum","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"401","UXRE10_NA/UXRF15_TUL1/UXRF15_TUL2/UXRF25_TUL1/UXRF25_TUL2","Røntgenundersøgelse af columna cervicalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af skulder","højresidig","Røntgenundersøgelse af skulder","venstresidig","Røntgenundersøgelse af albue","højresidig","Røntgenundersøgelse af albue","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"460","UXRE70_NA/UXRG25_TUL2/UXRG27_TUL2/UXRG60_TUL1/UXRG60_TUL2","Skolioseoptagelse",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af knæ","venstresidig","Tangential røntgenundersøgelse af patella","venstresidig","Røntgenundersøgelse på lang film af underekstremiteten","højresidig","Røntgenundersøgelse på lang film af underekstremiteten","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"502","UXRF15_TUL2/UXRF25_TUL2/UXRF40_TUL2/UXRG10_NA/UXRG15_TUL2","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af albue","venstresidig","Røntgenundersøgelse af håndled","venstresidig","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"504","UXRF15_TUL2/UXRF40_TUL1/UXRF50_TUL1/UXRG10_NA/UXRG15_TUL1","Røntgenundersøgelse af skulder","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af håndled","højresidig","Røntgenundersøgelse af hånd og fingre","højresidig","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"567","UXRF40_TUL1/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG40_TUL2","Røntgenundersøgelse af håndled","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"592","UXRF50_TUL1/UXRF50_TUL2/UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"593","UXRF50_TUL1/UXRF50_TUL2/UXRG10_NA/UXRG15_TUL1/UXRG25_TUL1","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hånd og fingre","venstresidig","Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af knæ","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"596","UXRF50_TUL1/UXRG10_NA/UXRG15_TUL2/UXRG25_TUL2/UXRG40_TUL2","Røntgenundersøgelse af hånd og fingre","højresidig",NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af bækken",NA,"Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af knæ","venstresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"614","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG20_TUL1/UXRG20_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af femur","højresidig","Røntgenundersøgelse af femur","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"619","UXRG10_NA/UXRG15_TUL1/UXRG15_TUL2/UXRG40_TUL1/UXRG40_TUL2","Røntgenundersøgelse af bækken",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Røntgenundersøgelse af hofte","højresidig","Røntgenundersøgelse af hofte","venstresidig","Røntgenundersøgelse af fodled","højresidig","Røntgenundersøgelse af fodled","venstresidig",NA,NA,NA,NA,NA,NA,NA,NA,"0"
