"","Koder_samlet","SKS1","SKS1_til","SKS2","SKS2_til","SKS3","SKS3_til","SKS4","SKS4_til","SKS5","SKS5_til","SKS6","SKS6_til","Tid_i_min"
"529","UXCA00_UXZ11/UXCB00_UXZ10/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af hals","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,"0"
"545","UXCA00_UXZ11/UXCE10_UXZ11/UXCE20_UXZ11/UXCE30_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af columna thoracalis","uden i.v. kontrast","CT-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,NA,NA,"0"
"641","UXCA00_UXZ12A/UXCB00_UXZ12/UXCC00_UXZ12/UXCD00_UXZ12","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","CT-skanning af hals","både med og uden i.v. kontrast","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,"0"
"657","UXCA25_UXZ11/UXCB00_UXZ10/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af ansigtsskelet","uden i.v. kontrast","CT-skanning af hals","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,"0"
"681","UXCA25_UXZ12/UXCB00_UXZ12/UXCC00_UXZ12/UXCD00_UXZ12","CT-skanning af ansigtsskelet","både med og uden i.v. kontrast","CT-skanning af hals","både med og uden i.v. kontrast","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,"0"
"836","UXCA00_UXZ10/UXCB00_UXZ10/UXCC00_UXZ10/UXCD10_UXZ10","CT-skanning af cerebrum","med i.v. kontrast","CT-skanning af hals","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af øvre abdomen","med i.v. kontrast",NA,NA,NA,NA,"0"
"860","UXCA00_UXZ11/UXCA25_UXZ11/UXCE10_UXZ11/UXCG10_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af ansigtsskelet","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af ossøse bækken","uden i.v. kontrast",NA,NA,NA,NA,"0"
"1078","UXCA40_UXZ11/UXCB00_UXZ10/UXCC00_UXZ10/UXCD00_UXZ10","Aksial CT-skanning af bihuler, inkl. cavum nasi","uden i.v. kontrast","CT-skanning af hals","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,"0"
"1156","UXCB00_UXZ12/UXCC00_UXZ12/UXCD00_UXZ10/UXCD00_UXZ12","CT-skanning af hals","både med og uden i.v. kontrast","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,"0"
"1200","UXCC00_UXZ10/UXCD00_UXZ10/UXCG20_TUL2/UXCG20_UXZ11","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af femur","venstresidig","CT-skanning af femur","uden i.v. kontrast",NA,NA,NA,NA,"0"
"1262","UXCC00_UXZ12/UXCC00A_UXZ12/UXCC00A_UXZ41/UXCD00_UXZ12","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af hjertet","både med og uden i.v. kontrast","CT-skanning af hjertet","med CT-angiografi","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,"0"
"1342","UXCD00_UXZ10/UXCE10_UXZ11/UXCE20_UXZ11/UXCE30_UXZ11","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af columna thoracalis","uden i.v. kontrast","CT-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,NA,NA,"0"
"1382","UXCE20_UXZ11/UXCE30_UXZ11/UXCG40_TUL2/UXCG40_UXZ11","CT-skanning af columna thoracalis","uden i.v. kontrast","CT-skanning af columna lumbalis","uden i.v. kontrast","CT-skanning af fodled","venstresidig","CT-skanning af fodled","uden i.v. kontrast",NA,NA,NA,NA,"0"
"1400","UXCE30_UXZ11/UXCG00_TUL1/UXCG00_TUL2/UXCG00_UXZ11","CT-skanning af columna lumbalis","uden i.v. kontrast","CT-skanning af hel underekstremitet","højresidig","CT-skanning af hel underekstremitet","venstresidig","CT-skanning af hel underekstremitet","uden i.v. kontrast",NA,NA,NA,NA,"0"
"1404","UXCE30_UXZ11/UXCG50_TUL1/UXCG50_TUL2/UXCG50_UXZ11","CT-skanning af columna lumbalis","uden i.v. kontrast","CT-skanning af fod","højresidig","CT-skanning af fod","venstresidig","CT-skanning af fod","uden i.v. kontrast",NA,NA,NA,NA,"0"
"1408","UXCF15_TUL1/UXCF15_UXZ11/UXCG15_TUL1/UXCG15_UXZ11","CT-skanning af skulder","højresidig","CT-skanning af skulder","uden i.v. kontrast","CT-skanning af hofte","højresidig","CT-skanning af hofte","uden i.v. kontrast",NA,NA,NA,NA,"0"
"1414","UXCF25_TUL2/UXCF25_UXZ11/UXCF40_TUL2/UXCF40_UXZ11","CT-skanning af albue","venstresidig","CT-skanning af albue","uden i.v. kontrast","CT-skanning af håndled","venstresidig","CT-skanning af håndled","uden i.v. kontrast",NA,NA,NA,NA,"0"
"1422","UXCF30_TUL2/UXCF30_UXZ11/UXCF40_TUL2/UXCF40_UXZ11","CT-skanning af underarm","venstresidig","CT-skanning af underarm","uden i.v. kontrast","CT-skanning af håndled","venstresidig","CT-skanning af håndled","uden i.v. kontrast",NA,NA,NA,NA,"0"
"1442","UXCG10_TUL2/UXCG10_UXZ11/UXCG15_TUL1/UXCG15_UXZ11","CT-skanning af ossøse bækken","venstresidig","CT-skanning af ossøse bækken","uden i.v. kontrast","CT-skanning af hofte","højresidig","CT-skanning af hofte","uden i.v. kontrast",NA,NA,NA,NA,"0"
"1464","UXCG25_TUL2/UXCG25_UXZ11/UXCG40_TUL2/UXCG40_UXZ11","CT-skanning af knæ","venstresidig","CT-skanning af knæ","uden i.v. kontrast","CT-skanning af fodled","venstresidig","CT-skanning af fodled","uden i.v. kontrast",NA,NA,NA,NA,"0"
"815","NAAC_NA/UXCA00_UXZ11/UXCG15_TUL2/UXCG15_UXZ11","Generel anæstesi",NA,"CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af hofte","venstresidig","CT-skanning af hofte","uden i.v. kontrast",NA,NA,NA,NA,"0"
"44","UXCB00_UXZ10/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af hals","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"56","UXCC00_UXZ12/UXCC00A_UXZ12/UXCC00A_UXZ41","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af hjertet","både med og uden i.v. kontrast","CT-skanning af hjertet","med CT-angiografi",NA,NA,NA,NA,NA,NA,"0"
"121","UXCG00_TUL1/UXCG00_TUL2/UXCG00_UXZ11","CT-skanning af hel underekstremitet","højresidig","CT-skanning af hel underekstremitet","venstresidig","CT-skanning af hel underekstremitet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"135","UXCC00_UXZ10/UXCC00A_UXZ10/UXCC00A_UXZ41","CT-skanning af thorax","med i.v. kontrast","CT-skanning af hjertet","med i.v. kontrast","CT-skanning af hjertet","med CT-angiografi",NA,NA,NA,NA,NA,NA,"0"
"151","UXCG50_TUL1/UXCG50_TUL2/UXCG50_UXZ11","CT-skanning af fod","højresidig","CT-skanning af fod","venstresidig","CT-skanning af fod","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"165","UXCG40_TUL1/UXCG40_TUL2/UXCG40_UXZ11","CT-skanning af fodled","højresidig","CT-skanning af fodled","venstresidig","CT-skanning af fodled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"188","UXCE10_UXZ11/UXCE20_UXZ11/UXCE30_UXZ11","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af columna thoracalis","uden i.v. kontrast","CT-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"196","UXCA00_UXZ12A/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"230","UXCC00_UXZ10/UXCD00_UXZ10/UXCD30_UXZ10","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af aorta abdominalis","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"248","UXCA00_UXZ11/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"304","UXCB00_UXZ11/UXCC00_UXZ11/UXCD00_UXZ11","CT-skanning af hals","uden i.v. kontrast","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af abdomen","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"312","UXCD00_UXZ10/UXCD60_UXZ10/UXCD62_UXZ10","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af nyrer","med i.v. kontrast","CT-urografi","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"320","UXCD00_UXZ12/UXCD60_UXZ12/UXCD62_UXZ12","CT-skanning af abdomen","både med og uden i.v. kontrast","CT-skanning af nyrer","både med og uden i.v. kontrast","CT-urografi","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"346","UXCA00_UXZ10/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af cerebrum","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"374","UXCA00_UXZ11/UXCC00_UXZ10/UXCC00_UXZ41","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af thorax","med CT-angiografi",NA,NA,NA,NA,NA,NA,"0"
"410","UXCB00_UXZ10/UXCC00_UXZ10/UXCD10_UXZ10","CT-skanning af hals","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af øvre abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"418","UXCG15_TUL1/UXCG15_TUL2/UXCG15_UXZ11","CT-skanning af hofte","højresidig","CT-skanning af hofte","venstresidig","CT-skanning af hofte","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"424","UXCA00_UXZ11/UXCC00_UXZ11/UXCD00_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af abdomen","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"432","UXCA65_TUL1/UXCA65_TUL2/UXCA65_UXZ11","CT-skanning af kæbeled","højresidig","CT-skanning af kæbeled","venstresidig","CT-skanning af kæbeled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"434","UXCB00_UXZ12/UXCC00_UXZ12/UXCD00_UXZ12","CT-skanning af hals","både med og uden i.v. kontrast","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"442","UXCC00_UXZ10/UXCC00A_UXZ10/UXCD00_UXZ10","CT-skanning af thorax","med i.v. kontrast","CT-skanning af hjertet","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"501","UXCA00_UXZ11/UXCA25_UXZ11/UXCE10_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af ansigtsskelet","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"561","UXCA00_UXZ11/UXCF15_TUL1/UXCF15_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af skulder","højresidig","CT-skanning af skulder","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"565","UXCA00_UXZ11/UXCG15_TUL2/UXCG15_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af hofte","venstresidig","CT-skanning af hofte","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"569","UXCA00_UXZ12A/UXCC00_UXZ12/UXCD00_UXZ12","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"575","UXCA25_UXZ11/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af ansigtsskelet","uden i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"587","UXCB00_UXZ10A/UXCC00_UXZ10A/UXCD00_UXZ10A","CT-skanning af hals","med i.v. kontrast samt peroral kontrast","CT-skanning af thorax","med i.v. kontrast samt peroral kontrast","CT-skanning af abdomen","med i.v. kontrast samt peroral kontrast",NA,NA,NA,NA,NA,NA,"0"
"588","UXCC00_UXZ10/UXCC00_UXZ41/UXCC77_UXZ11","CT-skanning af thorax","med i.v. kontrast","CT-skanning af thorax","med CT-angiografi","High Resolution CT-skanning af lunger","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"618","UXCF15_TUL1/UXCF15_TUL2/UXCF15_UXZ11","CT-skanning af skulder","højresidig","CT-skanning af skulder","venstresidig","CT-skanning af skulder","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"620","UXCG25_TUL1/UXCG25_TUL2/UXCG25_UXZ11","CT-skanning af knæ","højresidig","CT-skanning af knæ","venstresidig","CT-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"631","UXCA00_UXZ11/UXCB00_UXZ11/UXCC00_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af hals","uden i.v. kontrast","CT-skanning af thorax","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"697","UXCA90_UXZ10/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af traumept. (hoved, thorax, abdomen og bækken)","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"713","UXCC00_UXZ10/UXCC77_UXZ11/UXCD00_UXZ10","CT-skanning af thorax","med i.v. kontrast","High Resolution CT-skanning af lunger","uden i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"721","UXCC00_UXZ10/UXCD00_UXZ10/UXCE10_UXZ11","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"729","UXCC00_UXZ10/UXCD00_UXZ10/UXCG10_UXZ10","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af ossøse bækken","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"737","UXCC00_UXZ11/UXCD00_UXZ11/UXCE10_UXZ11","CT-skanning af thorax","uden i.v. kontrast","CT-skanning af abdomen","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"745","UXCC00_UXZ12/UXCC00A_UXZ12/UXCD00_UXZ12","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af hjertet","både med og uden i.v. kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"763","UXCD00_UXZ10/UXCD00_UXZ11/UXCD30_UXZ12","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af abdomen","uden i.v. kontrast","CT-skanning af aorta abdominalis","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"771","UXCD00_UXZ10/UXCD40_UXZ10/UXCD55_UXZ10","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af lever","med i.v. kontrast","CT-skanning af pancreas","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"801","UXCG20_TUL1/UXCG20_TUL2/UXCG20_UXZ11","CT-skanning af femur","højresidig","CT-skanning af femur","venstresidig","CT-skanning af femur","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"803","UXCG30_TUL1/UXCG30_TUL2/UXCG30_UXZ11","CT-skanning af crus","højresidig","CT-skanning af crus","venstresidig","CT-skanning af crus","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"828","UXCA00_UXZ10/UXCB00_UXZ10/UXCC00_UXZ10","CT-skanning af cerebrum","med i.v. kontrast","CT-skanning af hals","med i.v. kontrast","CT-skanning af thorax","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"884","UXCA00_UXZ11/UXCB00_UXZ10/UXCE10_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af hals","med i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"892","UXCA00_UXZ11/UXCC00_UXZ10/UXCD10_UXZ10","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af øvre abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"900","UXCA00_UXZ11/UXCC00_UXZ12/UXCD00_UXZ12","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"908","UXCA00_UXZ11/UXCC70_UXZ12/UXCD30_UXZ12","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af aorta thoracalis","både med og uden i.v. kontrast","CT-skanning af aorta abdominalis","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"920","UXCA00_UXZ11/UXCD00_UXZ10/UXCD00_UXZ41","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af abdomen","med CT-angiografi",NA,NA,NA,NA,NA,NA,"0"
"928","UXCA00_UXZ11/UXCD00_UXZ11/UXCD62_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af abdomen","uden i.v. kontrast","CT-urografi","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"948","UXCA00_UXZ11/UXCE10_UXZ11/UXCE20_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af columna thoracalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"988","UXCA00_UXZ11/UXCE10_UXZ11/UXCE30_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af columna cervicalis","uden i.v. kontrast","CT-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1000","UXCA00_UXZ11/UXCE20_UXZ11/UXCE30_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af columna thoracalis","uden i.v. kontrast","CT-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1012","UXCA00_UXZ11/UXCF15_TUL2/UXCF15_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af skulder","venstresidig","CT-skanning af skulder","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1016","UXCA00_UXZ11/UXCF25_TUL2/UXCF25_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af albue","venstresidig","CT-skanning af albue","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1020","UXCA00_UXZ11/UXCG40_TUL1/UXCG40_UXZ11","CT-skanning af cerebrum","uden i.v. kontrast","CT-skanning af fodled","højresidig","CT-skanning af fodled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1024","UXCA00_UXZ12/UXCB00_UXZ12/UXCC00_UXZ12","CT-skanning af cerebrum","både med og uden i.v. kontrast","CT-skanning af hals","både med og uden i.v. kontrast","CT-skanning af thorax","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1038","UXCA00_UXZ12A/UXCD00_UXZ10/UXCD00_UXZ41","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","CT-skanning af abdomen","med i.v. kontrast","CT-skanning af abdomen","med CT-angiografi",NA,NA,NA,NA,NA,NA,"0"
"1044","UXCA00_UXZ12A/UXCD00_UXZ12/UXCD00_UXZ41","CT-skanning af cerebrum","både med og uden i.v. kontrast samt peroral kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast","CT-skanning af abdomen","med CT-angiografi",NA,NA,NA,NA,NA,NA,"0"
"1064","UXCA25_UXZ11/UXCF25_TUL2/UXCF25_UXZ11","CT-skanning af ansigtsskelet","uden i.v. kontrast","CT-skanning af albue","venstresidig","CT-skanning af albue","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1068","UXCA25_UXZ12/UXCC00_UXZ10/UXCD00_UXZ10","CT-skanning af ansigtsskelet","både med og uden i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1094","UXCA40_UXZ11/UXCC00_UXZ10/UXCD00_UXZ10","Aksial CT-skanning af bihuler, inkl. cavum nasi","uden i.v. kontrast","CT-skanning af thorax","med i.v. kontrast","CT-skanning af abdomen","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1108","UXCA40_UXZ12/UXCC00_UXZ12/UXCD00_UXZ12","Aksial CT-skanning af bihuler, inkl. cavum nasi","både med og uden i.v. kontrast","CT-skanning af thorax","både med og uden i.v. kontrast","CT-skanning af abdomen","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1120","UXCA90_UXZ10/UXCG30_TUL1/UXCG30_UXZ11","CT-skanning af traumept. (hoved, thorax, abdomen og bækken)","med i.v. kontrast","CT-skanning af crus","højresidig","CT-skanning af crus","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1124","UXCA90_UXZ10/UXCG30_TUL2/UXCG30_UXZ11","CT-skanning af traumept. (hoved, thorax, abdomen og bækken)","med i.v. kontrast","CT-skanning af crus","venstresidig","CT-skanning af crus","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"1132","UXCA90_UXZ11/UXCG50_TUL1/UXCG50_UXZ11","CT-skanning af traumept. (hoved, thorax, abdomen og bækken)","uden i.v. kontrast","CT-skanning af fod","højresidig","CT-skanning af fod","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
