"","Koder_samlet","SKS1","SKS1_til","SKS2","SKS2_til","SKS3","SKS3_til","SKS4","SKS4_til","SKS5","SKS5_til","SKS6","SKS6_til","Tid_i_min"
"356","UXME30_UXZ11/UXMG15_TUL1/UXMG15_UXZ11","MR-skanning af columna lumbalis","uden i.v. kontrast","MR-skanning af hofteled","højresidig","MR-skanning af hofteled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"364","UXMF40_TUL1/UXMF40_TUL2/UXMF40_UXZ11","MR-skanning af håndled","højresidig","MR-skanning af håndled","venstresidig","MR-skanning af håndled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"370","UXMG00_TUL1/UXMG00_TUL2/UXMG00_UXZ11","MR-skanning af underekstremitet","højresidig","MR-skanning af underekstremitet","venstresidig","MR-skanning af underekstremitet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"414","UXMA00_UXZ11/UXME10_UXZ11/UXME30_UXZ11","MR-skanning af cerebrum","uden i.v. kontrast","MR-skanning af columna cervicalis","uden i.v. kontrast","MR-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"458","UXMD15_UXZ11/UXMD40_UXZ11/UXMD40_UXZ12","MR-skanning af nedre abdomen, inkl. bækken","uden i.v. kontrast","MR-skanning af lever","uden i.v. kontrast","MR-skanning af lever","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"484","UXMD60_TUL1/UXMD60_TUL2/UXMD60_UXZ11","MR-skanning af nyrer","højresidig","MR-skanning af nyrer","venstresidig","MR-skanning af nyrer","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"486","UXMD65_TUL1/UXMD65_TUL2/UXMD65_UXZ11","MR-skanning af binyrer","højresidig","MR-skanning af binyrer","venstresidig","MR-skanning af binyrer","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"488","UXMD65_TUL1/UXMD65_TUL2/UXMD65_UXZ12","MR-skanning af binyrer","højresidig","MR-skanning af binyrer","venstresidig","MR-skanning af binyrer","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"492","UXME00_UXZ11/UXMG15_TUL2/UXMG15_UXZ11","MR-skanning af columna","uden i.v. kontrast","MR-skanning af hofteled","venstresidig","MR-skanning af hofteled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"498","UXME10_UXZ11/UXME30_UXZ11/UXME50_UXZ10","MR-skanning af columna cervicalis","uden i.v. kontrast","MR-skanning af columna lumbalis","uden i.v. kontrast","MR-skanning af os sacrum","med i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"506","UXME10_UXZ11/UXMG25_TUL2/UXMG25_UXZ11","MR-skanning af columna cervicalis","uden i.v. kontrast","MR-skanning af knæ","venstresidig","MR-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"550","UXME30_UXZ11/UXMG25_TUL2/UXMG25_UXZ11","MR-skanning af columna lumbalis","uden i.v. kontrast","MR-skanning af knæ","venstresidig","MR-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"575","UXMF30_TUL1/UXMF30_TUL2/UXMF30_UXZ11","MR-skanning af underarm","højresidig","MR-skanning af underarm","venstresidig","MR-skanning af underarm","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"581","UXMF45_TUL1/UXMF45_TUL2/UXMF45_UXZ11","MR-skanning af os scaphoideum","højresidig","MR-skanning af os scaphoideum","venstresidig","MR-skanning af os scaphoideum","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"587","UXMF50_TUL1/UXMF50_TUL2/UXMF50_UXZ11","MR-skanning af hånd og fingre","højresidig","MR-skanning af hånd og fingre","venstresidig","MR-skanning af hånd og fingre","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"605","UXMG25_TUL1/UXMG25_UXZ11/UXMG25_ZAT0B","MR-skanning af knæ","højresidig","MR-skanning af knæ","uden i.v. kontrast","MR-skanning af knæ","tolkebistand fra ekstern tolk",NA,NA,NA,NA,NA,NA,"0"
"613","UXMG30_TUL1/UXMG30_TUL2/UXMG30_UXZ12","MR-skanning af crus","højresidig","MR-skanning af crus","venstresidig","MR-skanning af crus","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,"0"
"9","UXMG25_TUL2/UXMG25_UXZ11","MR-skanning af knæ","venstresidig","MR-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"11","UXMG25_TUL1/UXMG25_UXZ11","MR-skanning af knæ","højresidig","MR-skanning af knæ","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"53","UXMF10_TUL1/UXMF10_UXZ11","MR-skanning af skulder","højresidig","MR-skanning af skulder","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"89","UXMF10_TUL2/UXMF10_UXZ11","MR-skanning af skulder","venstresidig","MR-skanning af skulder","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"94","UXMD40_UXZ11/UXMD40_UXZ12","MR-skanning af lever","uden i.v. kontrast","MR-skanning af lever","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"98","UXMG40_TUL2/UXMG40_UXZ11","MR-skanning af fodled","venstresidig","MR-skanning af fodled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"100","UXMG40_TUL1/UXMG40_UXZ11","MR-skanning af fodled","højresidig","MR-skanning af fodled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"106","UXMF40_TUL2/UXMF40_UXZ11","MR-skanning af håndled","venstresidig","MR-skanning af håndled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"108","UXMG15_TUL1/UXMG15_UXZ11","MR-skanning af hofteled","højresidig","MR-skanning af hofteled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"114","UXMF40_TUL1/UXMF40_UXZ11","MR-skanning af håndled","højresidig","MR-skanning af håndled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"118","UXMG50_TUL2/UXMG50_UXZ11","MR-skanning af fod og tæer","venstresidig","MR-skanning af fod og tæer","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"120","UXMG15_TUL2/UXMG15_UXZ11","MR-skanning af hofteled","venstresidig","MR-skanning af hofteled","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"126","UXMF45_TUL1/UXMF45_UXZ11","MR-skanning af os scaphoideum","højresidig","MR-skanning af os scaphoideum","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"128","UXMG50_TUL1/UXMG50_UXZ11","MR-skanning af fod og tæer","højresidig","MR-skanning af fod og tæer","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"138","UXMF45_TUL2/UXMF45_UXZ11","MR-skanning af os scaphoideum","venstresidig","MR-skanning af os scaphoideum","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"140","UXMF25_TUL1/UXMF25_UXZ11","MR-skanning af albue","højresidig","MR-skanning af albue","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"144","UXMF25_TUL2/UXMF25_UXZ11","MR-skanning af albue","venstresidig","MR-skanning af albue","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"148","UXME10_UXZ11/UXME30_UXZ11","MR-skanning af columna cervicalis","uden i.v. kontrast","MR-skanning af columna lumbalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"152","UXMF10_TUL1/UXMF10_UXZ12","MR-skanning af skulder","højresidig","MR-skanning af skulder","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"156","UXMG20_TUL1/UXMG20_UXZ11","MR-skanning af femur","højresidig","MR-skanning af femur","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"160","UXMG20_TUL2/UXMG20_UXZ11","MR-skanning af femur","venstresidig","MR-skanning af femur","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"162","UXMG30_TUL1/UXMG30_UXZ11","MR-skanning af crus","højresidig","MR-skanning af crus","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"168","UXMA00_UXZ11/UXMA00_UXZ51","MR-skanning af cerebrum","uden i.v. kontrast","MR-skanning af cerebrum","med MR-arteriografi",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"174","UXMG20_TUL1/UXMG20_UXZ12","MR-skanning af femur","højresidig","MR-skanning af femur","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"176","UXMG20_TUL2/UXMG20_UXZ12","MR-skanning af femur","venstresidig","MR-skanning af femur","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"178","UXMG25_TUL1/UXMG25_UXZ12","MR-skanning af knæ","højresidig","MR-skanning af knæ","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"180","UXMG50_TUL1/UXMG50_UXZ12","MR-skanning af fod og tæer","højresidig","MR-skanning af fod og tæer","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"182","UXMD10_UXZ11/UXMD15_UXZ11","MR-skanning af øvre abdomen","uden i.v. kontrast","MR-skanning af nedre abdomen, inkl. bækken","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"188","UXMG25_TUL2/UXMG25_UXZ12","MR-skanning af knæ","venstresidig","MR-skanning af knæ","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"194","UXMF10_TUL2/UXMF10_UXZ12","MR-skanning af skulder","venstresidig","MR-skanning af skulder","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"196","UXMD15_UXZ11/UXMD25A_UXZ12","MR-skanning af nedre abdomen, inkl. bækken","uden i.v. kontrast","MR-skanning af tyndtarm","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"200","UXMG40_TUL1/UXMG40_UXZ12","MR-skanning af fodled","højresidig","MR-skanning af fodled","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"202","UXMG50_TUL2/UXMG50_UXZ12","MR-skanning af fod og tæer","venstresidig","MR-skanning af fod og tæer","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"206","UXMD10_UXZ12/UXMD15_UXZ12","MR-skanning af øvre abdomen","både med og uden i.v. kontrast","MR-skanning af nedre abdomen, inkl. bækken","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"212","UXMF50_TUL1/UXMF50_UXZ11","MR-skanning af hånd og fingre","højresidig","MR-skanning af hånd og fingre","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"214","UXMG30_TUL2/UXMG30_UXZ11","MR-skanning af crus","venstresidig","MR-skanning af crus","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"218","UXMG15_TUL1/UXMG15_UXZ12","MR-skanning af hofteled","højresidig","MR-skanning af hofteled","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"222","UXMG30_TUL1/UXMG30_UXZ12","MR-skanning af crus","højresidig","MR-skanning af crus","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"230","UXMA00_UXZ11/UXME10_UXZ11","MR-skanning af cerebrum","uden i.v. kontrast","MR-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"236","UXMG30_TUL2/UXMG30_UXZ12","MR-skanning af crus","venstresidig","MR-skanning af crus","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"270","UXMA00_UXZ12/UXMA00_UXZ51","MR-skanning af cerebrum","både med og uden i.v. kontrast","MR-skanning af cerebrum","med MR-arteriografi",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"278","UXMF20_TUL1/UXMF20_UXZ12","MR-skanning af overarm","højresidig","MR-skanning af overarm","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"280","UXMG15_TUL2/UXMG15_UXZ12","MR-skanning af hofteled","venstresidig","MR-skanning af hofteled","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"288","UXMF20_TUL1/UXMF20_UXZ11","MR-skanning af overarm","højresidig","MR-skanning af overarm","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"290","UXMF20_TUL2/UXMF20_UXZ12","MR-skanning af overarm","venstresidig","MR-skanning af overarm","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"292","UXMF25_TUL2/UXMF25_UXZ12","MR-skanning af albue","venstresidig","MR-skanning af albue","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"294","UXMG00_TUL2/UXMG00_UXZ12","MR-skanning af underekstremitet","venstresidig","MR-skanning af underekstremitet","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"296","UXMD40_UXZ11/UXMD50_UXZ11","MR-skanning af lever","uden i.v. kontrast","MR-cholangio-pancreaticografi (MRCP)","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"302","UXMF30_TUL1/UXMF30_UXZ12","MR-skanning af underarm","højresidig","MR-skanning af underarm","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"304","UXMF30_TUL2/UXMF30_UXZ12","MR-skanning af underarm","venstresidig","MR-skanning af underarm","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"306","UXMF40_TUL2/UXMF40_UXZ12","MR-skanning af håndled","venstresidig","MR-skanning af håndled","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"308","UXMG00_TUL1/UXMG00_UXZ11","MR-skanning af underekstremitet","højresidig","MR-skanning af underekstremitet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"310","UXMA00_UXZ12/UXME10_UXZ11","MR-skanning af cerebrum","både med og uden i.v. kontrast","MR-skanning af columna cervicalis","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"314","UXMC20_TUL2/UXMC20_UXZ11","MR-skanning af clavicel","venstresidig","MR-skanning af clavicel","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"324","UXMF20_TUL2/UXMF20_UXZ11","MR-skanning af overarm","venstresidig","MR-skanning af overarm","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"326","UXMF25_TUL1/UXMF25_UXZ12","MR-skanning af albue","højresidig","MR-skanning af albue","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"328","UXMF30_TUL1/UXMF30_UXZ11","MR-skanning af underarm","højresidig","MR-skanning af underarm","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"330","UXMF30_TUL2/UXMF30_UXZ11","MR-skanning af underarm","venstresidig","MR-skanning af underarm","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"332","UXMF40_TUL1/UXMF40_UXZ12","MR-skanning af håndled","højresidig","MR-skanning af håndled","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"334","UXMF50_TUL1/UXMF50_UXZ12","MR-skanning af hånd og fingre","højresidig","MR-skanning af hånd og fingre","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"336","UXMF50_TUL2/UXMF50_UXZ11","MR-skanning af hånd og fingre","venstresidig","MR-skanning af hånd og fingre","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"338","UXMG00_TUL1/UXMG00_UXZ12","MR-skanning af underekstremitet","højresidig","MR-skanning af underekstremitet","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"340","UXMG00_TUL2/UXMG00_UXZ11","MR-skanning af underekstremitet","venstresidig","MR-skanning af underekstremitet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"360","UXMF00_TUL1/UXMF00_UXZ11","MR-skanning af overekstremitet","højresidig","MR-skanning af overekstremitet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"362","UXMF00_TUL2/UXMF00_UXZ11","MR-skanning af overekstremitet","venstresidig","MR-skanning af overekstremitet","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"366","UXMF45_TUL2/UXMF45_UXZ12","MR-skanning af os scaphoideum","venstresidig","MR-skanning af os scaphoideum","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"368","UXMF50_TUL2/UXMF50_UXZ12","MR-skanning af hånd og fingre","venstresidig","MR-skanning af hånd og fingre","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"372","UXMG40_TUL2/UXMG40_UXZ12","MR-skanning af fodled","venstresidig","MR-skanning af fodled","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"410","UXMA00_UXZ10/UXMA00_UXZ51","MR-skanning af cerebrum","med i.v. kontrast","MR-skanning af cerebrum","med MR-arteriografi",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"422","UXMA00_UXZ12/UXME00_UXZ10","MR-skanning af cerebrum","både med og uden i.v. kontrast","MR-skanning af columna","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"426","UXMA00_UXZ12/UXME00_UXZ11","MR-skanning af cerebrum","både med og uden i.v. kontrast","MR-skanning af columna","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"430","UXMA00_UXZ12/UXME10_UXZ12","MR-skanning af cerebrum","både med og uden i.v. kontrast","MR-skanning af columna cervicalis","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"450","UXMC20_TUL2/UXMC20_UXZ12","MR-skanning af clavicel","venstresidig","MR-skanning af clavicel","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"466","UXMD25A_UXZ11/UXMD50_UXZ11","MR-skanning af tyndtarm","uden i.v. kontrast","MR-cholangio-pancreaticografi (MRCP)","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"470","UXMD25A_UXZ12/UXMD50_UXZ11","MR-skanning af tyndtarm","både med og uden i.v. kontrast","MR-cholangio-pancreaticografi (MRCP)","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"474","UXMD40_UXZ10/UXMD40_UXZ11","MR-skanning af lever","med i.v. kontrast","MR-skanning af lever","uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"478","UXMD50_UXZ11/UXMG10_UXZ12","MR-cholangio-pancreaticografi (MRCP)","uden i.v. kontrast","MR-skanning af bækken, inkl. begge hofteled","både med og uden i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"546","UXME30_UXZ11/UXME50_UXZ10","MR-skanning af columna lumbalis","uden i.v. kontrast","MR-skanning af os sacrum","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"573","UXMF25_TUL1/UXMF25_UXZ10","MR-skanning af albue","højresidig","MR-skanning af albue","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"589","UXMF50_TUL1/UXMF50_UXZ10","MR-skanning af hånd og fingre","højresidig","MR-skanning af hånd og fingre","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"607","UXMG25_TUL2/UXMG25_UXZ10","MR-skanning af knæ","venstresidig","MR-skanning af knæ","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"615","UXMG30_TUL2/UXMG30_UXZ10","MR-skanning af crus","venstresidig","MR-skanning af crus","med i.v. kontrast",NA,NA,NA,NA,NA,NA,NA,NA,"0"
